Date,Home Team,Away Team,Home Score,Away Score,Winner
03-12-2016,Memphis Grizzlies,Los Angeles Lakers,103,100,Home
03-12-2016,Dallas Mavericks,Chicago Bulls,107,82,Home
03-12-2016,Utah Jazz,Denver Nuggets,105,98,Home
03-12-2016,Portland Trail Blazers,Miami Heat,99,92,Home
03-12-2016,Golden State Warriors,Phoenix Suns,138,109,Home
04-12-2016,Detroit Pistons,Orlando Magic,92,98,Away
04-12-2016,Oklahoma City Thunder,New Orleans Pelicans,101,92,Home
04-12-2016,New York Knicks,Sacramento Kings,106,98,Home
04-12-2016,LA Clippers,Indiana Pacers,102,111,Away
05-12-2016,Philadelphia 76ers,Denver Nuggets,98,106,Away
05-12-2016,Toronto Raptors,Cleveland Cavaliers,112,116,Away
05-12-2016,Brooklyn Nets,Washington Wizards,113,118,Away
05-12-2016,Atlanta Hawks,Oklahoma City Thunder,99,102,Away
05-12-2016,Chicago Bulls,Portland Trail Blazers,110,112,Away
05-12-2016,Milwaukee Bucks,San Antonio Spurs,96,97,Away
05-12-2016,New Orleans Pelicans,Memphis Grizzlies,108,110,Away
05-12-2016,Houston Rockets,Boston Celtics,107,106,Home
05-12-2016,Dallas Mavericks,Charlotte Hornets,101,109,Away
05-12-2016,Los Angeles Lakers,Utah Jazz,101,107,Away
05-12-2016,Golden State Warriors,Indiana Pacers,142,106,Home
06-12-2016,Washington Wizards,Orlando Magic,116,124,Away
06-12-2016,Miami Heat,New York Knicks,103,114,Away
06-12-2016,Detroit Pistons,Chicago Bulls,102,91,Home
06-12-2016,Memphis Grizzlies,Philadelphia 76ers,96,91,Home
06-12-2016,Minnesota Timberwolves,San Antonio Spurs,91,105,Away
06-12-2016,Utah Jazz,Phoenix Suns,112,105,Home
07-12-2016,Charlotte Hornets,Detroit Pistons,87,77,Home
07-12-2016,Orlando Magic,Boston Celtics,87,117,Away
07-12-2016,Brooklyn Nets,Denver Nuggets,116,111,Home
07-12-2016,Atlanta Hawks,Miami Heat,103,95,Home
07-12-2016,Milwaukee Bucks,Portland Trail Blazers,115,107,Home
07-12-2016,Houston Rockets,Los Angeles Lakers,134,95,Home
07-12-2016,New York Knicks,Cleveland Cavaliers,94,126,Away
07-12-2016,Dallas Mavericks,Sacramento Kings,89,120,Away
07-12-2016,Phoenix Suns,Indiana Pacers,94,109,Away
07-12-2016,LA Clippers,Golden State Warriors,98,115,Away
08-12-2016,Toronto Raptors,Minnesota Timberwolves,124,110,Home
08-12-2016,Washington Wizards,Denver Nuggets,92,85,Home
